heights_min,slopes_total,lifts_drag lifts,lifts_aerial tramway,distance_from_berlin,slopes_easy,name,url,slopes_medium,lifts_cable railway/cog railway,heights_max,lifts_cable car,slopes_freeride,lifts_chairlifts,slopes_difficult
1377,238.0,13,3,772.127,39.0,Ischgl,https://www.bergfex.com/ischgl/,150.0,0,2872,4,15.0,25,34.0
1800,110.0,9,0,789.776,35.0,Obergurgl - Hochgurgl,https://www.bergfex.com/obergurgl-hochgurgl/,55.0,0,3080,7,10.0,8,20.0
1200,214.0,11,0,764.329,47.0,Serfaus - Fiss - Ladis,https://www.bergfex.com/serfaus-fiss-ladis/,123.0,1,2820,11,16.0,16,28.0
1350,146.1,9,0,775.943,70.2,Sölden,https://www.bergfex.com/soelden/,44.6,1,3340,7,2.0,16,29.4
1304,305.0,28,5,817.438,131.0,St. Anton am Arlberg,https://www.bergfex.com/stanton-stchristoph/,123.0,0,2811,9,200.0,46,51.0
1450,304.0,16,5,815.017,130.0,Lech Zürs am Arlberg,https://www.bergfex.com/lech-zuers-arlberg/,122.0,0,2811,12,200.0,42,51.0
1409,305.0,28,8,804.017,131.0,Stuben am Arlberg,https://www.bergfex.com/stuben/,123.0,0,2529,5,200.0,46,51.0
1230,225.0,17,4,832.07,110.0,Arosa Lenzerheide,https://www.bergfex.com/arosa-lenzerheide/,87.0,0,2865,4,0.0,18,28.0
1870,120.0,5,3,898.498,13.0,Corvatsch,https://www.bergfex.com/corvatsch-furtschellas/,89.0,0,3303,0,0.0,6,18.0
1100,235.0,8,3,840.116,64.0,Flims Laax Falera,https://www.bergfex.com/laax/,70.0,0,3018,8,44.0,9,46.0
1700,238.0,13,3,785.059,48.0,Samnaun,https://www.bergfex.com/samnaun/,148.0,0,2900,4,14.0,25,27.0
1773,163.0,7,2,0.0,42.0,St. Moritz - Corviglia,https://www.bergfex.com/corviglia/,79.0,2,3057,1,8.0,12,34.0
1925,104.0,16,7,0.0,42.0,Aletsch Arena / Riederalp -...,https://www.bergfex.com/aletsch-arena/,50.0,1,2869,3,15.0,8,12.0
1500,140.0,8,1,1131.856,55.0,Crans Montana - Aminona,https://www.bergfex.com/crans-montana/,70.0,0,3000,3,0.0,6,15.0
1500,410.0,1,0,1107.135,135.0,La Tzoumaz - Mayens de Riddes,https://www.bergfex.com/latzoumaz/,170.0,0,3300,2,0.0,3,105.0
1350,420.0,34,5,1115.173,144.0,Nendaz / 4 Vallées,https://www.bergfex.com/nendaz-4-vallees/,180.0,1,3330,12,78.0,19,18.0
1800,150.0,11,2,1049.781,37.0,Saas-Fee,https://www.bergfex.com/saas-fee/,90.0,1,3600,6,5.0,2,23.0
1350,400.0,44,5,1127.149,119.0,Veysonnaz / 4 Vallées,https://www.bergfex.com/veysonnaz-4-vallees/,196.0,1,2700,11,55.5,25,29.5
1620,296.6,13,8,1053.778,74.2,Zermatt,https://www.bergfex.com/zermatt/,220.0,2,3899,11,0.0,20,26.4
1050,82.0,6,4,942.826,27.0,Engelberg Titlis,https://www.bergfex.com/engelberg/,47.0,1,3028,4,0.0,9,8.0
1200,125.0,20,0,1078.011,48.0,Les Diablerets,https://www.bergfex.com/les-diablerets/,41.0,1,3200,2,0.0,9,2.0
1300,125.0,14,0,1071.321,63.0,Villars - Gryon,https://www.bergfex.com/villars/,45.0,1,3000,2,0.0,9,17.0
1121,100.0,5,0,981.603,20.0,Passo Tonale - Adamello Ski /...,https://www.bergfex.com/passo-tonale-val-di-sole/,64.0,0,3016,4,0.0,19,16.0
1221,100.0,5,0,981.603,24.0,Ponte di Legno - Temù - Adamello...,https://www.bergfex.com/ponte-di-legno/,61.0,0,3000,4,0.0,19,15.0
1524,200.0,3,2,1193.084,31.0,Breuil - Cervinia,https://www.bergfex.com/breuil-cervinia/,119.0,0,3480,3,0.0,12,50.0
1441,160.0,19,0,1183.811,52.0,La Thuile - La Rosiere / San...,https://www.bergfex.com/thuile-rosiere-aostatal/,81.0,0,2615,1,0.0,18,27.0
1212,180.0,3,3,0.0,46.0,Monterosa,https://www.bergfex.com/monterosa-aostatal/,117.0,0,3275,5,0.0,15,17.0
1524,200.0,5,0,1186.792,31.0,Valtournenche,https://www.bergfex.com/valtournenche/,119.0,0,2896,1,0.0,2,50.0
1350,400.0,29,1,1241.455,96.0,Pragelato / Via Lattea,https://www.bergfex.com/pragelato/,220.0,0,2823,5,0.0,39,84.0
2035,238.0,6,1,1242.605,88.0,Sestriere / Via Lattea,https://www.bergfex.com/sestriere/,109.0,0,2823,1,0.0,7,41.0
1816,115.0,11,0,898.986,30.0,Livigno,https://www.bergfex.com/livigno/,65.0,0,2785,6,0.0,13,20.0
1224,120.0,6,5,903.216,45.0,Cortina d'Ampezzo,https://www.bergfex.com/cortina-ampezzo/,55.0,0,2930,0,0.0,28,20.0
1550,100.0,10,0,1311.462,30.0,Les Orres,https://www.bergfex.com/les-orres/,60.0,0,2720,0,0.0,9,10.0
1650,142.0,22,0,1303.053,75.0,Vars - La Fôret Blanche,https://www.bergfex.com/vars/,90.0,0,2550,2,0.0,18,20.0
1860,214.0,23,6,1317.471,54.0,Alpe d,https://www.bergfex.com/alpe-dhuez-grand-domaine/,80.0,0,3330,9,0.0,24,67.0
1250,225.0,60,1,1288.626,156.0,Champagny en Vanoise / Paradiski,https://www.bergfex.com/champagny-en-vanoise/,165.0,1,3250,8,0.0,36,94.0
1600,265.0,10,0,1195.598,118.0,Flaine - Le Grand Massif,https://www.bergfex.com/flaine/,107.0,3,2561,2,0.0,9,41.0
1650,141.0,18,1,1319.993,110.0,Les 2 Alpes,https://www.bergfex.com/les2alpes/,56.0,1,3600,4,0.0,20,34.0
1250,176.0,33,1,1303.324,156.0,Montchavin- La Plagne / Paradiski,https://www.bergfex.com/montchavin-les-coches/,165.0,0,3250,9,0.0,31,94.0
1550,89.0,25,1,1214.037,170.0,Tignes - Val d’Isère,https://www.bergfex.com/tignes/,78.0,1,3456,5,0.0,18,52.0
1550,300.0,11,3,1214.037,170.0,Val d'Isère - Tignes,https://www.bergfex.com/val-disere/,78.0,1,3456,2,0.0,22,52.0
1430,150.0,11,0,1298.373,75.0,Valloire - Galibier Thabor,https://www.bergfex.com/valloire/,60.0,0,2550,2,0.0,17,15.0
1500,150.0,11,0,1298.373,56.0,Valmeinier - Galibier Thabor,https://www.bergfex.com/valmeinier/,80.0,0,2600,2,0.0,17,14.0
1500,153.0,8,1,1893.241,74.0,Baqueira-Beret,https://www.bergfex.com/baqueira-beret/,54.0,0,2510,0,7.0,26,18.0
